x,y,theta
7.47087,-10.0074,-1.50906
7.47272,-10.0373,-1.48906
7.47517,-10.0672,-1.50906
7.47702,-10.0971,-1.48906
7.47947,-10.127,-1.50906
7.48132,-10.157,-1.48906
7.48377,-10.1869,-1.50906
7.48562,-10.2168,-1.48912
7.48806,-10.2467,-1.50912
7.48991,-10.2767,-1.49043
7.49232,-10.3066,-1.51043
7.49413,-10.3365,-1.49053
7.49654,-10.3664,-1.51053
7.49834,-10.3964,-1.4907
7.50074,-10.4263,-1.5107
7.50255,-10.4562,-1.49082
7.50494,-10.4861,-1.51082
7.50674,-10.5161,-1.49097
7.50913,-10.546,-1.51097
7.51093,-10.5759,-1.49115
7.51331,-10.6058,-1.51115
7.5151,-10.6358,-1.49137
7.51748,-10.6657,-1.51137
7.51926,-10.6956,-1.49161
7.52164,-10.7255,-1.51161
7.52341,-10.7555,-1.49187
7.52578,-10.7854,-1.51187
7.52754,-10.8153,-1.49216
7.5299,-10.8452,-1.51216
7.53166,-10.8752,-1.49247
7.53401,-10.9051,-1.51247
7.53575,-10.935,-1.4928
7.53809,-10.965,-1.5128
7.53983,-10.9949,-1.49314
7.54216,-11.0248,-1.51314
7.54389,-11.0548,-1.4935
7.5462,-11.0847,-1.5135
7.54792,-11.1146,-1.49387
7.55023,-11.1445,-1.51387
7.55193,-11.1745,-1.49424
7.55423,-11.2044,-1.51424
7.55592,-11.2344,-1.49463
7.55821,-11.2643,-1.51463
7.55989,-11.2942,-1.49502
7.56216,-11.3241,-1.51502
7.56383,-11.3541,-1.49542
7.56609,-11.384,-1.51542
7.56775,-11.414,-1.49582
7.57,-11.4439,-1.51582
7.57165,-11.4738,-1.49622
7.57389,-11.5037,-1.51622
7.57552,-11.5337,-1.49663
7.57774,-11.5636,-1.51663
7.57937,-11.5936,-1.49704
7.58158,-11.6235,-1.51704
7.58319,-11.6534,-1.49745
7.58539,-11.6834,-1.51745
7.58699,-11.7133,-1.49786
7.58918,-11.7432,-1.51786
7.59076,-11.7732,-1.49826
7.59294,-11.8031,-1.51826
7.59451,-11.8331,-1.49867
